transaction_id,user_id,amount,transaction_type,merchant_category,country,hour,device_risk_score,ip_risk_score,is_fraud
9608,363,4922.587542,ATM,Travel,TR,12,0.992346524,0.947907677,1
456,692,48.01830286,QR,Food,US,21,0.168571239,0.224057403,0
4747,587,136.88196,Online,Travel,TR,14,0.296127249,0.125057692,0
6934,445,80.53471896,POS,Clothing,TR,23,0.124800978,0.159242505,0
1646,729,120.0411582,Online,Grocery,FR,16,0.098128954,0.027541969,0
2183,944,97.10862458,POS,Clothing,DE,17,0.235399432,0.105454051,0
1919,829,166.2092619,Online,Travel,UK,12,0.115905909,0.223717843,0
3479,845,96.51263663,Online,Grocery,US,7,0.082250433,0.03402301,0
6796,129,83.33870063,QR,Food,DE,16,0.021774441,0.279597507,0
5129,249,89.69573135,QR,Grocery,UK,6,0.095353437,0.136336413,0
7402,701,101.4038267,QR,Travel,FR,7,0.164793935,0.291939625,0
6188,116,106.5634436,QR,Food,DE,23,0.136235969,0.135830553,0
8538,679,55.36360145,Online,Food,US,10,0.074304264,0.128760255,0
8410,559,99.41209708,Online,Food,DE,10,0.084773552,0.014333689,0
8201,564,94.54560514,ATM,Clothing,TR,20,0.133489727,0.162009834,0
2187,336,133.4106627,POS,Food,UK,19,0.083132164,0.286020189,0
5666,166,157.9981233,QR,Electronics,FR,19,0.207533005,0.019961657,0
1419,288,202.9958954,QR,Grocery,TR,23,0.156544299,0.082757567,0
6484,984,88.50981483,QR,Travel,UK,19,0.14780303,0.206480204,0
2480,137,115.3065595,Online,Food,FR,14,0.206384378,0.068766353,0
2818,893,63.99286999,QR,Travel,FR,12,0.043743621,0.222846612,0
8826,620,113.3057512,ATM,Clothing,TR,9,0.142162983,0.034885543,0
8257,600,131.9634974,Online,Clothing,FR,18,0.039897327,0.044511442,0
9933,121,4284.177967,ATM,Food,TR,12,0.737854234,0.731070697,1
9035,358,76.69547979,POS,Grocery,TR,7,0.093975966,0.184998839,0
7468,688,138.6417025,POS,Electronics,TR,17,0.108045629,0.209671007,0
464,832,133.2635753,Online,Travel,DE,15,0.057434088,0.092188821,0
599,155,17.55120811,POS,Electronics,FR,7,0.01246942,0.175071583,0
3094,200,1,POS,Food,US,9,0.106583552,0.180465035,0
8745,865,154.7180429,Online,Grocery,FR,9,0.164080897,0.030920377,0
